,Neg Score,Neu Array,Pos Array,Comp Array,Quote
0,0.108,0.608,0.284,0.5574,"
“You’ll miss the best things if you keep your eyes shut.”
"
1,0.444,0.556,0.0,-0.34,“Being crazy isn’t enough.”
2,0.0,0.79,0.21,0.6114,"“They say I’m old-fashioned, and live in the past, but sometimes I think progress progresses too fast!”"
3,0.0,1.0,0.0,0.0,"“Oh the things you can find, if you don’t stay behind!”"
4,0.101,0.899,0.0,-0.2263,“In the places I go there are things that I see that I never could spell if I stopped with the Z.”
5,0.0,0.908,0.092,0.5204,“How did it get so late so soon? Its night before its afternoon. December is here before its June. My goodness how the time has flewn. How did it get so late so soon?”
6,0.154,0.846,0.0,-0.4767,"
“Fantasy is a necessary ingredient in living, it’s a way of looking at life through the wrong end of a telescope.”
"
7,0.0,1.0,0.0,0.0,"“Simple it’s not, I am afraid you will find, for a mind-maker-upper to make up his mind.”"
8,0.0,0.828,0.172,0.4497,"“I know, up on top you are seeing great sights, but down here at the bottom we, too, should have rights.”"
9,0.0,1.0,0.0,0.0,"“Today I shall behave, as if this is the day I will be remembered.”"
10,0.0,1.0,0.0,0.0,“I meant what I said and I said what I meant.”
11,0.0,1.0,0.0,0.0,"“In my world, everyone’s a pony and they all eat rainbows and poop butterflies!”"
12,0.145,0.855,0.0,-0.2584,"
“Sometimes you will never know the value of a moment, until it becomes a memory.”
"
13,0.0,0.825,0.175,0.5255,“I’m telling you this ‘cause you’re one of my friends. My alphabet starts where your alphabet ends!”
14,0.0,1.0,0.0,0.0,"“Think and wonder, wonder and think.”"
15,0.0,0.59,0.41,0.9647,"“So be sure when you step, step with care and great tact. And remember that life’s A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you’ll move mountains.”"
16,0.0,1.0,0.0,0.0,“Only you can control your future.”
17,0.0,1.0,0.0,0.0,"
“It’s not about what it is, it’s about what it can become.”
"
18,0.0,0.774,0.226,0.7163,"“You’re off to Great Places! Today is your day! Your mountain is waiting, So… get on your way!”"
19,0.191,0.809,0.0,-0.5106,“He who makes a beast out of himself gets rid of the pain of being a man”
20,0.0,1.0,0.0,0.0,“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You’re on your own. And you know what you know. And YOU are the one who’ll decide where to go…”
21,0.246,0.556,0.198,-0.1531,“Don’t cry because it’s over. Smile because it happened.”
22,0.098,0.622,0.28,0.5423,"“Remember me and smile, for it’s better to forget than to remember me and cry.”"
23,0.0,1.0,0.0,0.0,"
“It’s opener there in the wide open air.”
"
24,0.0,0.734,0.266,0.7835,“You’ll be on your way up! You’ll be seeing great sights! You’ll join the high fliers who soar to high heights.”
25,0.0,1.0,0.0,0.0,"“Just tell yourself, Duckie, you’re really quite lucky!”"
26,0.0,0.881,0.119,0.4019,"“With your head full of brains and your shoes full of feet, you’re too smart to go down any not-so-good street.”"
27,0.0,1.0,0.0,0.0,“Congratulations! Today is your day!”
28,0.0,1.0,0.0,0.0,“Think! You can think any Think that you wish!”
29,0.259,0.494,0.247,-0.0258,"
“Take every chance. Drop every fear.”
"
30,0.0,1.0,0.0,0.0,“Teeth are always in style.”
31,0.176,0.824,0.0,-0.4563,“You do not like them. So you say. Try them! Try them! And you may!”
32,0.0,0.843,0.157,0.5761,"“And you very small persons will not have to die if you make yourselves heard! So come on, now, and TRY!”"
33,0.0,0.563,0.437,0.7351,"
“Today was good. Today was fun. Tomorrow is another one.”
"
34,0.0,0.645,0.355,0.765,“If you never did you should. These things are fun and fun is good”
35,0.0,0.775,0.225,0.4926,"“From there to here, from here to there, funny things are everywhere!”"
36,0.058,0.656,0.287,0.8241,"“I know it is wet and the sun is not sunny, but we can have lots of good fun that is funny.”"
37,0.0,0.699,0.301,0.5106,"
“It is fun to have fun but you have to know how.”
"
38,0.0,0.833,0.167,0.34,"“When he worked, he really worked. But when he played, he really PLAYED.”"
39,0.289,0.444,0.267,-0.1027,“Day Play. We play all day. Night Fight. We fight all night.”
40,0.159,0.841,0.0,-0.3818,"
“People are weird. When we find someone with weirdness that is compatible with ours, we team up and call it love.”
"
41,0.0,0.693,0.307,0.7964,“You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.”
42,0.0,0.761,0.239,0.8442,"“I’m glad we had the times together just to laugh and sing a song, seems like we just got started and then before you know it, the times we had together were gone.”"
43,0.037,0.686,0.277,0.9336,"
“Life’s too short to wake up with regrets. So love the people who treat you right, forgive the ones who don’t and believe that everything happens for a reason. If you get a chance, take it. If it changes your life, let it. Nobody said it’d be easy, they just promised it would be worth it.”
"
44,0.0,1.0,0.0,0.0,“To the world you may be one person; but to one person you may be the world.”
45,0.459,0.541,0.0,-0.7783,“Adults are just obsolete children and the hell with them.”
46,0.0,1.0,0.0,0.0,“Adults are just outdated children.”
47,0.063,0.538,0.399,0.7579,"
“Children want the same things we want. To laugh, to be challenged, to be entertained, and delighted.”
"
48,0.0,0.597,0.403,0.4019,"“You make ‘em, I amuse ‘em.”"
49,0.0,0.828,0.172,0.4019,"“Sometimes, when I see my granddaughters make small discoveries of their own, I wish I were a child.”"
50,0.088,0.598,0.315,0.6908,"“Today you are You, that is truer than true. There is no one alive who is You-er than You.”"
51,0.0,1.0,0.0,0.0,"“So, open your mouth, lad! For every voice counts!”"
52,0.0,0.783,0.217,0.3612,"
“Why fit in when you were born to stand out?”
"
53,0.265,0.602,0.133,-0.2732,"“A person’s a person, no matter how small.”"
54,0.19,0.685,0.126,-0.1739,"“If you’d never been born, then you might be an Isn’t! An Isn’t has no fun at all. No, he didn’t!”"
55,0.0,1.0,0.0,0.0,“Don’t give up. I believe in you all.”
56,0.0,1.0,0.0,0.0,"
“You are you. Now, isn’t that pleasant?”
"
57,0.0,0.642,0.358,0.8732,"“I am what I am! That’s a great thing to be! If I say so my self, Happy Birthday to me!”"
58,0.0,0.896,0.104,0.0516,“Be who you are and say what you feel because those who mind don’t matter and those who matter don’t mind.”
59,0.0,1.0,0.0,0.0,"
“Sometimes the questions are complicated and the answers are simple.”
"
60,0.184,0.694,0.122,-0.4816,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I’ve bought a big bat. I’m all ready you see. Now my troubles are going to have troubles with me!”
61,0.208,0.647,0.145,-0.4215,"“It’s a troublesome world. All the people who are in it are troubled with troubles almost every minute. You ought to be thankful, a whole heaping lot, for the places and people you’re lucky you’re not.”"
62,0.128,0.513,0.359,0.6597,"“Unless someone like you cares a whole awful lot, nothing is going to get better. It’s not.”"
63,0.153,0.847,0.0,-0.4404,"“If things start happening, don’t worry, don’t stew, just go right along and you’ll start happening too.”"
64,0.24,0.629,0.131,-0.2695,"“All alone! Whether you like it or not, alone is something you’ll be quite a lot!”"
65,0.333,0.667,0.0,-0.25,“Everything stinks till it’s finished.”
66,0.0,0.596,0.404,0.7269,"
“You’re in pretty good shape for the shape you are in.”
"
67,0.229,0.61,0.161,-0.145,"“I’m sorry to say so but, sadly it’s true that bang-ups and hang-ups can happen to you.”"
68,0.0,1.0,0.0,0.0,“Things may happen and often do to people as brainy and footsy as you.”
69,0.104,0.539,0.357,0.7269,"“I’m afraid sometimes you’ll play lonely games too, games you can’t win because you’ll play against you.”"
70,0.105,0.724,0.171,0.3103,"“When you’re in a Slump, you’re not in for much fun. Un-slumping yourself is not easily done.”"
71,0.0,1.0,0.0,0.0,"“You’re never too old, too wacky, too wild, to pick up a book and read to a child.”"
72,0.0,0.461,0.539,0.6892,"
“Be awesome! Be a book nut!”
"
73,0.062,0.731,0.207,0.8519,"“The problem with writing a book in verse is, to be successful, it has to sound like you knocked it off on a rainy Friday afternoon. It has to sound easy. When you can do it, it helps tremendously because it’s a thing that forces kids to read on. You have this unconsummated feeling if you stop.”"
74,0.0,1.0,0.0,0.0,“‘The Lorax’ book was intended to be propaganda.”
75,0.0,0.838,0.162,0.4404,"
“You can find magic wherever you look. Sit back and relax, all you need is a book.”
"
76,0.077,0.739,0.183,0.4588,"“Preachers in pulpits talked about what a great message is in the book. No matter what you do, somebody always imputes meaning into your books.”"
77,0.084,0.916,0.0,-0.2732,"“I stay out of politics because if I begin thinking too much about politics, I’ll probably… drop writing children’s books and become a political cartoonist again.”"
78,0.0,1.0,0.0,0.0,“I am not a consecutive writer.”
79,0.0,0.854,0.146,0.4404,"“Whenever things go a bit sour in a job I’m doing, I always tell myself, ‘You can do better than this.'”"
80,0.0,1.0,0.0,0.0,"“So the writer who breeds more words than he needs, is making a chore for the reader who reads.”"
81,0.0,1.0,0.0,0.0,"
“The more that you read, the more things you will know. The more that you learn, the more places you’ll go.”
"
82,0.0,1.0,0.0,0.0,“You have to be a speedy reader because there’s so so much to read.”
83,0.107,0.814,0.079,-0.1655,"“You can get help from teachers, but you are going to have to learn a lot by yourself, sitting alone in a room.”"
84,0.0,0.775,0.225,0.4404,“It is better to know how to learn than to know.”
85,0.221,0.574,0.205,-0.0516,"
“I like nonsense, it wakes up the brain cells.”
"
86,0.0,0.81,0.19,0.6115,"“If you keep your eyes open enough, oh, the stuff you will learn. Oh, the most wonderful stuff.”"
87,0.102,0.898,0.0,-0.3382,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”"
88,0.136,0.864,0.0,-0.296,"“There’s no limit to how much you’ll know, depending how far beyond zebra you go.”"
89,0.0,0.834,0.166,0.4576,"“Words and pictures are yin and yang. Married, they produce a progeny more interesting than either parent.”"
90,0.085,0.915,0.0,-0.2023,"“What it really said to me is how hard the people at our school work, … All of our employees who work here are working hard to do what’s right for our kids.”"
91,0.277,0.723,0.0,-0.7536,“I would not like them here or there. I would not like them anywhere. I do not like green eggs and ham. I do not like them Sam I Am.”
92,0.0,1.0,0.0,0.0,"
“Christmas doesn’t come from a store, maybe Christmas perhaps means a little bit more….”
"
93,0.0,1.0,0.0,0.0,“We looked! Then we saw him. Step in on the mat! We looked! And we saw him! The Cat in the Hat!”
94,0.1,0.731,0.169,0.3612,"“My wonderful weapon, the Jigger-Rock Snatchem, will fling ‘em right back just as quick as we catch ‘em.”"
95,0.0,1.0,0.0,0.0,"“So, on beyond Z! It’s high time you were shown. That you really don’t know. All there is to be known.”"
96,0.0,0.821,0.179,0.5411,“Just go. Go. Go! I don’t care how. You can go by foot. You can go by cow.”
97,0.121,0.879,0.0,-0.296,"“And that is a story that no one can beat, When I say that I saw it on Mulberry Street.”"
98,0.0,0.799,0.201,0.6166,"“And turtles, of course… all the turtles are FREE. As turtles and, maybe, ALL creatures should be.”"
